sp	G1	G2	mu1	mu2	rec_ha	inflection	steepness	param1	param2
BAH	0.351854540157058	0.270508721932619	0.0571	0.0316	3.32617510108453	65.5827890255638	22.2967111290239	-0.403940260811873	200
FAH	0.485583618336107	0.347833831245683	0.0202	0.0037	0.723327305605787	65.5827890255638	22.2967111290239	-0.403940260811873	200
GES	0.352344430561613	0.149089133375936	0.0268	0.02795	0.197964977901813	77.0608835587086	18.0586505923108	10.3128575575253	250
HBU	0.303211221436999	0.196953796004108	0.0046	0.00965	0.0623411081007283	46.5397154093817	26.5568432561011	-29.1300390430498	200
SAH	0.440064756864409	0.352481677207284	0.0011	0	1.80789213492112	65.5827890255638	22.2967111290239	-0.403940260811873	200
SEI	0.419847138159712	0.2416	0.0324	0.32595	0	77.0608835587086	18.0586505923108	10.3128575575253	250
UL	0.354934338856057	0.274694776335942	0.03775	0.03665	4.79183033509166	64.9278447315924	19.0019997679197	-0.50204234269726	200
WLI	0.211191666146599	0.177894475982997	0.0136	0.03255	2.12909798682254	64.9278447315924	19.0019997679197	-0.50204234269726	200
