dbh,n,rel_freq,time
7.5,138.9938,0.32809189059937033,0
12.5,73.7155,0.17400386032670442,0
17.5,48.8475,0.11530347847208108,0
22.5,36.4138,0.0859539956883498,0
27.5,20.8713,0.04926625702921022,0
32.5,17.7627,0.041928473249522175,0
37.5,16.8748,0.039832604299517356,0
42.5,13.322,0.0314462959251766,0
47.5,15.0985,0.0356396861602071,0
52.5,10.6578,0.025157508835861524,0
57.5,7.9933000000000005,0.018868013602966083,0
62.5,10.6577,0.025157272788001405,0
67.5,3.1086,0.007337783779688034,0
72.5,5.7729,0.013626806916863235,0
77.5,1.7764,0.004193154187170374,0
82.5,0.8881,0.0020963410457250672,0
97.5,0.8882,0.002096577093585187,0
2.5,21.31817374311601,0.049408998575857316,1
7.5,135.0444006815852,0.31299156678974804,1
12.5,71.60071182,0.1659485240609383,1
17.5,47.30738354,0.10964402833569101,1
22.5,35.80963813,0.08299577537398006,1
27.5,20.36768406,0.0472060545542283,1
32.5,17.14491555,0.03973666404077839,1
37.5,16.2060783,0.03756072679084436,1
42.5,12.74991127,0.029550389980528318,1
47.5,14.4613893,0.033517071956473264,1
52.5,10.09884321,0.023406026041129496,1
57.5,7.59301941,0.017598293818967183,1
62.5,10.0284095,0.023242782269922022,1
67.5,2.93935972,0.006812535725125601,1
72.5,5.43767383,0.012602862785523763,1
77.5,1.69015578,0.0039172635298538845,1
82.5,0.83277137,0.0019301090201327212,1
97.5,0.83286514,0.00193032635027799,1
2.5,42.0228615206964,0.09564988899143123,2
7.5,117.5622389745761,0.2675880390002524,2
12.5,72.521865217172,0.16506987164731007,2
17.5,51.976193134386,0.11830505880835179,2
22.5,37.256778189011,0.0848016191425277,2
27.5,20.724066581857,0.04717086357932537,2
32.5,16.652734044033,0.03790394335547828,2
37.5,16.370224251911,0.037260911698955956,2
42.5,11.329341496555,0.02578716006661754,2
47.5,15.183352714561,0.034559426681361284,2
52.5,9.601470876434,0.021854285744750318,2
57.5,7.189288251892,0.016363821937309012,2
62.5,9.875383156657,0.022477748266069013,2
67.5,2.3428449972050003,0.00533264170495438,2
72.5,5.560793750329999,0.012657141510017154,2
77.5,1.171466462667,0.002666420920814682,2
82.5,1.218529519738,0.0027735429972639857,2
97.5,0.780977641778,0.001777613947209788,2
2.5,62.13752768364719,0.13897314679559072,3
7.5,113.16923486722932,0.2531076673989906,3
12.5,71.37062017186156,0.15962333945009458,3
17.5,47.80336838842562,0.10691420756536991,3
22.5,37.34811486585924,0.08353060128521335,3
27.5,20.42642796084922,0.04568454969700586,3
32.5,16.509511754820487,0.03692420484296179,3
37.5,16.09778086485681,0.036003351704058106,3
42.5,11.19159249828501,0.025030458808387914,3
47.5,14.613720181428219,0.03268418869741721,3
52.5,9.48718261036525,0.021218475706007968,3
57.5,6.090836068395281,0.013622406403912022,3
62.5,10.04999764023586,0.02247723476322674,3
67.5,2.563047121226744,0.005732360734332864,3
72.5,4.530256393865564,0.01013210551362234,3
77.5,1.4645630191838976,0.0032755556753507895,3
82.5,1.5328466873408328,0.0034282749191357747,3
97.5,0.3661613673476153,8.189350196606913e-4,3
102.5,0.3661613673476153,8.189350196606913e-4,3
2.5,81.68466187077246,0.17962239093621282,4
7.5,106.08424670021792,0.2332764266455057,4
12.5,69.73772270174662,0.15335139061910497,4
17.5,46.90087228756423,0.10313376617282173,4
22.5,37.995061428019554,0.08355012582736923,4
27.5,20.408002863908575,0.04487665351969794,4
32.5,16.762251297822164,0.03685974314678253,4
37.5,15.149782829683984,0.033313968029117916,4
42.5,11.451340889632894,0.0251811929303886,4
47.5,14.077131182551078,0.030955235690793587,4
52.5,9.013232143805293,0.01981985688200198,4
57.5,5.792159371782299,0.012736803840714612,4
62.5,9.10231700490579,0.020015752113500967,4
67.5,2.781822981412986,0.006117154477216412,4
72.5,4.295810374433239,0.00944637233958338,4
77.5,1.3733207430887409,0.003019895654170055,4
82.5,1.461244815672249,0.0032132383427066623,4
97.5,0.3433495141618588,7.550164161554474e-4,4
102.5,0.3433495141618588,7.550164161554474e-4,4
2.5,100.68582079711138,0.2179905569723216,5
7.5,102.46763971635353,0.22184829677673862,5
12.5,62.12267538959053,0.1344991429932912,5
17.5,49.36799894251819,0.10688453946036931,5
22.5,35.659755075334594,0.07720540795940731,5
27.5,20.45659871349854,0.04428970546210972,5
32.5,18.451246999144768,0.039948004379707455,5
37.5,15.024943519800882,0.03252986150809663,5
42.5,10.964739439026893,0.023739287602236314,5
47.5,12.276374362857242,0.026579052182060144,5
52.5,9.435241277666213,0.0204278366606483,5
57.5,6.367364441328972,0.013785707957906219,5
62.5,8.154557460480024,0.017655082995795966,5
67.5,3.0453829796069565,0.00659342821722912,5
72.5,4.07562148264804,0.008823953462137286,5
77.5,1.2877628607943123,0.0027880801988841323,5
82.5,1.3939293109268633,0.0030179366316265763,5
97.5,0.32195883942957504,6.970592897170766e-4,5
102.5,0.32195883942957504,6.970592897170766e-4,5
2.5,119.2552341992176,0.2542099127061039,6
7.5,84.04583956469766,0.1791559564032383,6
12.5,72.86243671954983,0.15531690329909478,6
17.5,47.987022582949535,0.10229133256708216,6
22.5,36.04483760188653,0.07683482475053813,6
27.5,21.48310395768393,0.04579436716895749,6
32.5,17.9674692332725,0.03830027936308204,6
37.5,14.142427792074411,0.03014664604548821,6
42.5,10.847342123702848,0.02312269069677309,6
47.5,11.807136726092217,0.0251686327782888,6
52.5,9.012991574666634,0.019212505151676492,6
57.5,6.096806372087347,0.012996231369142795,6
62.5,7.670075421618036,0.016349883646377898,6
