dbh,n,rel_freq,time
7.5,177.2171,0.38971339477544165,0
12.5,81.1651,0.17848800515462784,0
17.5,53.1652,0.11691417236776423,0
22.5,32.6079,0.07170716260167966,0
27.5,20.9115,0.04598592153266614,0
32.5,14.531699999999999,0.03195627362629388,0
37.5,9.2151,0.020264680463652616,0
42.5,11.3418,0.02494144967310775,0
47.5,13.113999999999999,0.028838647393988174,0
52.5,6.3797,0.014029427999041204,0
57.5,7.7973,0.017146834324015862,0
62.5,10.2785,0.02260317502204571,0
67.5,5.6706,0.012470065114560726,0
72.5,6.0252,0.01324985651046649,0
77.5,3.1898999999999997,0.007014823953186127,0
82.5,1.0632,0.0023380547437309917,0
87.5,0.7088,0.0015587031624873279,0
92.5,0.3544,7.793515812436639e-4,0
2.5,12.136996973394979,0.026545547936048238,1
7.5,173.62497759,0.3797455149419402,1
12.5,79.3683719428965,0.17359128676019817,1
17.5,52.04277473,0.11382584788877462,1
22.5,31.91721367,0.06980803631403414,1
27.5,20.452546729999998,0.04473298138127607,1
32.5,14.2502465,0.031167561662532112,1
37.5,9.00616368,0.019697916231782877,1
42.5,11.108017859999999,0.024295006517961494,1
47.5,12.802095779999998,0.028000225093144326,1
52.5,6.239558069999999,0.01364690855654145,1
57.5,7.60158782,0.016625884830343326,1
62.5,10.02029554,0.021915984338919715,1
67.5,5.55821508,0.012156702779809167,1
72.5,5.88860488,0.012879317961530527,1
77.5,3.11171234,0.006805811129864461,1
82.5,1.0402703199999999,0.0022752370876042045,1
87.5,0.69221408,0.001513982584236205,1
92.5,0.35216728,7.702460034586919e-4,1
2.5,24.105784544872837,0.052431385059776896,2
7.5,161.55438419858498,0.35138952271988083,2
12.5,74.30728353713052,0.16162236033549776,2
17.5,55.002864727388,0.11963420541423055,2
22.5,34.308946651014,0.0746238144419683,2
27.5,20.658402947604,0.04493314364647945,2
32.5,15.035149534385999,0.032702263359289316,2
37.5,9.117945254057998,0.019832024038859263,2
42.5,11.894016028371999,0.025870128106797955,2
47.5,11.846018323070998,0.02576573050198498,2
52.5,7.783401614561,0.01692931944895925,2
57.5,7.083708706328,0.01540744953317746,2
62.5,9.096102307412,0.019784514448606988,2
67.5,4.76076340512,0.0103549178749062,2
72.5,7.448519770168,0.016200933326524076,2
77.5,2.6974645055799997,0.005867131182304847,2
82.5,1.690136051076,0.0036761373160212976,2
87.5,0.6798341685679999,0.001478676083021886,2
92.5,0.6879567614,0.0014963431617127123,2
2.5,35.90960771924804,0.07766565654955844,3
7.5,142.7188521774458,0.30867375224540095,3
12.5,88.25317413031182,0.19087484232636737,3
17.5,53.84083791535114,0.11644749947053082,3
22.5,33.592574550254696,0.07265435417822916,3
27.5,20.19640756475881,0.043680991051837315,3
32.5,14.765244535363207,0.03193441766112885,3
37.5,8.90174999661279,0.019252793384216878,3
42.5,11.648372034252297,0.025193214831160642,3
47.5,11.578169405630172,0.025041379888098323,3
52.5,7.606513818472633,0.016451443702302206,3
57.5,6.911371576882371,0.014947983151840644,3
62.5,8.868590560754242,0.01918107582670687,3
67.5,4.664090477461507,0.010087541249982134,3
72.5,7.280652838100274,0.015746668334596464,3
77.5,2.6310326218047875,0.005690423509311838,3
82.5,1.6505868674808215,0.0035699056853317652,3
87.5,0.6658060922066807,0.0014400120349465778,3
92.5,0.6778426946901657,0.0014660449184527048,3
2.5,47.55163779390495,0.10225599618817256,4
7.5,135.90486670800055,0.2922525527360216,4
12.5,89.95970949459036,0.19345116462733145,4
17.5,52.37840929195562,0.11263558248223525,4
22.5,31.905035265356606,0.06860922811150771,4
27.5,20.406122231676104,0.0438817347613023,4
32.5,15.161235852060502,0.03260302583510595,4
37.5,8.69171469929408,0.0186908377165007,4
42.5,11.738743708616418,0.025243230046559484,4
47.5,10.988132658425855,0.02362910098081099,4
52.5,7.764043294072012,0.016695954510008423,4
57.5,6.74365984608747,0.014501701466195163,4
62.5,8.647045803781882,0.018594780827166583,4
67.5,4.56988448486873,0.009827171305654227,4
72.5,7.116951818126791,0.015304436014169467,4
77.5,2.5662658386690267,0.005518549559830582,4
82.5,1.6119631347817704,0.0034663978742462426,4
87.5,0.6520726200592376,0.0014022300481043738,4
92.5,0.6679275971758478,0.0014363249090769113,4
2.5,59.03497414297786,0.12621028326704364,5
7.5,126.29175687269816,0.26999788922736073,5
12.5,89.15375630502992,0.19060092768613893,5
17.5,52.27661492393314,0.11176165440188592,5
22.5,31.92851820488955,0.06825966108118299,5
27.5,23.730801912530218,0.05073384506412628,5
32.5,14.892166328510731,0.03183781407660426,5
37.5,8.185420279529415,0.017499528493688604,5
42.5,11.417180952159837,0.024408677449291122,5
47.5,10.823450332285425,0.023139346670265442,5
52.5,8.194932130457632,0.017519863785055663,5
57.5,6.278297770811144,0.013422310276105652,5
62.5,8.733451079572355,0.018671158083039603,5
67.5,4.478075633428482,0.009573633297736982,5
72.5,6.9573083254252435,0.014873960178273884,5
77.5,2.503121498959479,0.005351398523024187,5
82.5,1.574243197427877,0.0033655588532551647,5
87.5,0.6386274607717022,0.0013653152880341657,5
92.5,0.6582070504876538,0.0014071742978868308,5
2.5,70.36264595730404,0.14953919950842703,6
7.5,123.18926221782682,0.26180970612256044,6
12.5,83.80386920265563,0.17810534759989588,6
17.5,53.517346661539456,0.1137384910800224,6
22.5,31.6148754776306,0.06718995721610894,6
27.5,23.591017941209532,0.0501371415261738,6
32.5,14.303409581460649,0.030398521686502308,6
37.5,8.063619176567324,0.017137319672946544,6
42.5,11.44014440674287,0.024313327243026345,6
47.5,10.664787632190652,0.022665489390675954,6
52.5,8.277657067997335,0.01759220670161709,6
57.5,6.436487646825584,0.013679235583838406,6
62.5,6.976377665352201,0.01482664441269413,6
67.5,5.588567666129265,0.011877181760600024,6
72.5,6.850087103404776,0.014558243625854093,6
77.5,3.0380728850159326,0.006456706979854273,6
82.5,1.5374059066080648,0.003267393450968317,6
87.5,0.625464459425104,0.001329277108768136,6
92.5,0.6486767381497237,0.001378609329465925,6
2.5,81.53761394125667,0.17225117148377872,7
