sp	G1	G2	mu1	mu2	rec_ha	inflection	steepness	param1	param2
BAH	0.40896120831114	0.371585067474525	0.0353	0.03515	3.51398074558131	65.5827890255638	22.2967111290239	-0.403940260811873	200
FAH	0.382261510764226	0.355806818972306	0.0053	0.0087	5.99573636525138	65.5827890255638	22.2967111290239	-0.403940260811873	200
GES	0.214807752969651	0.130597077532383	0.04285	0.10815	0.16312227081257	77.0608835587086	18.0586505923108	10.3128575575253	250
HBU	0.342369819276948	0.316006597802135	0.0043	0.00505	0.616166140633458	46.5397154093817	26.5568432561011	-29.1300390430498	200
SAH	0.407991155951357	0.326479647675222	0.0179	0.0111	2.39614533142336	65.5827890255638	22.2967111290239	-0.403940260811873	200
SEI	0.306516887174714	0.2416	0.02035	0.0828	0	77.0608835587086	18.0586505923108	10.3128575575253	250
UL	0.314388941867897	0.254883336710021	0.04755	0.03165	5.22812722360723	64.9278447315924	19.0019997679197	-0.50204234269726	200
WLI	0.209053400124676	0.197834783651279	0.0114	0.0054	3.01024814499523	64.9278447315924	19.0019997679197	-0.50204234269726	200
