sp	G1	G2	mu1	mu2	rec_ha	inflection	steepness	param1	param2
BAH	0.375369050573445	0.312128393626345	0.04245	0.033	3.32617510108453	65.5827890255638	22.2967111290239	-0.403940260811873	200
FAH	0.443039221100626	0.351116826191939	0.0117	0.0052	0.723327305605787	65.5827890255638	22.2967111290239	-0.403940260811873	200
GES	0.295711680964923	0.141474757440355	0.03135	0.0503	0.197964977901813	77.0608835587086	18.0586505923108	10.3128575575253	250
HBU	0.319335349959331	0.245975537920943	0.00345	0.0072	0.0623411081007283	46.5397154093817	26.5568432561011	-29.1300390430498	200
SAH	0.426857980017858	0.34177495916467	0.0035	2e-04	1.80789213492112	65.5827890255638	22.2967111290239	-0.403940260811873	200
SEI	0.373181740695301	0.2416	0.0216	0.0828	0	77.0608835587086	18.0586505923108	10.3128575575253	250
UL	0.338239175390344	0.266537124725269	0.04145	0.03445	4.79183033509166	64.9278447315924	19.0019997679197	-0.50204234269726	200
WLI	0.210311203666983	0.186105190905231	0.01225	0.01265	2.12909798682254	64.9278447315924	19.0019997679197	-0.50204234269726	200
