dbh,n,rel_freq,time
7.5,102.313,0.2864388306829676,0
12.5,56.037,0.1568830232226741,0
17.5,30.0068,0.08400802150789902,0
22.5,19.161,0.053643764083902756,0
27.5,19.884,0.05566789859841983,0
32.5,24.2221,0.06781298564880231,0
37.5,20.2454,0.05667968589239835,0
42.5,21.6918,0.06072907477455257,0
47.5,18.7994,0.05263141686336419,0
52.5,15.9072,0.044534318878735865,0
57.5,7.9535,0.022266879476087915,0
62.5,7.592099999999999,0.021255092182109393,0
67.5,4.6998999999999995,0.013157994197481057,0
72.5,3.6153,0.010121512462425427,0
77.5,2.8922,0.008097097984628335,0
82.5,1.0845,0.003036201771775614,0
87.5,0.3615,0.001012067257258538,0
92.5,0.723,0.002024134514517076,0
2.5,12.386980108499108,0.034948683977556294,1
7.5,97.99738345,0.27649027889142525,1
12.5,53.45073224619235,0.1508061475257748,1
17.5,28.59546662,0.08067938410649719,1
22.5,18.36922109,0.05182700683823564,1
27.5,19.03212712,0.05369733303125102,1
32.5,23.28372052,0.06569279866017484,1
37.5,19.42440798,0.05480411609592854,1
42.5,20.859449610000002,0.0588529493048473,1
47.5,18.08722786,0.05103138981190988,1
52.5,15.316537570000001,0.04321415118742431,1
57.5,7.65867704,0.02160822744629061,1
62.5,7.25385404,0.0204660579287874,1
67.5,4.47676345,0.01263076146775875,1
72.5,3.43384674,0.00968827135366757,1
77.5,2.74531161,0.007745635097288586,1
82.5,1.0364928,0.0029243656641829885,1
87.5,0.34172595,9.64147203666357e-4,1
92.5,0.6834519,0.001928294407332714,1
2.5,24.2123779385172,0.06887017168335277,2
7.5,85.91401829421363,0.24437555059458005,2
12.5,48.000757198057855,0.1365343130507746,2
17.5,36.22247016897,0.10303191804071368,2
22.5,16.933382849337,0.04816565258377925,2
27.5,18.935403638238,0.053860240525342544,2
32.5,20.129186582150002,0.057255860588297534,2
37.5,20.581122434530002,0.058541355958570906,2
42.5,20.01850796407,0.056941044115161286,2
47.5,17.046760999425,0.04848814765970815,2
52.5,14.786348912857001,0.04205858634721042,2
57.5,8.744965703118,0.024874355210715505,2
