numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
429.6389,29.930754530897623,NA,135.5,5.140499999999999,12139.821370656733,5.5,375,0
453.9218546940491,25.558721315960156,NA,136.69926016827063,4.497666182529261,11080.606513268567,0.1,382,5
478.6569358790357,22.170958343826943,NA,137.89852033654125,3.440906931370153,10367.592617368864,0.1,390,10
510.4569615562259,19.54061876744094,NA,139.09778050481188,2.9835721279303424,9974.862672307985,0.1,397,15
539.3301189921309,17.52364374748344,NA,140.2970406730825,2.730107315559692,9763.258242975173,0.1,404,20
569.6299749580764,16.001687900433488,NA,141.49630084135313,2.155593203885872,9717.317614366824,0.1,411,25
600.87375306608806,14.887584218156546,NA,142.69556100962376,1.8158846307267427,9805.237488249828,0.1,418,30
632.6910256972229,14.117478731980249,NA,143.89482117789439,1.5983730954504545,10003.407085901898,0.1,426,35
664.7556523618512,13.631411952186188,NA,145.094081346165,1.5117367044824466,10290.051294692823,0.1,426,40
700.1220812856832,13.363548305103503,NA,146.29334151443564,1.1747272852565267,10664.408456268702,0.1,410,45
739.2001321701455,13.41208776113036,NA,147.49260168270627,1.1741172062968066,11154.294555070006,0.1,415,50
780.2210132752355,13.64570550005897,NA,148.6918618509769,1.2266339577585093,11715.479704393178,0.1,397,55
817.6629235396633,14.112907933866724,NA,149.89112201924752,1.3113693242478328,12305.685344080937,0.1,389,60
852.8931720873342,14.747247355995263,NA,151.09038218751814,1.6760388006411993,12929.061077538883,0.1,371,65
886.2285684911752,15.65468554218036,NA,152.28964235578877,1.5361839580036976,13606.11209128046,0.1,362,70
918.6995202903648,16.787818685591773,NA,153.4889025240594,1.5302863958744177,14335.376386241582,0.1,359,75
950.3955427913559,18.118567327751464,NA,154.68816269233002,1.5443101505396588,15110.627037875473,0.769519124871895,359,80
980.0179532199189,19.676627120947195,NA,155.88742286060065,1.5971372096997767,15920.176411366425,5.456152998975162,363,85
1007.0130077125802,21.418352845269276,NA,157.08668302887128,1.676544243562648,16745.931220513845,11.47479603961219,367,90
1032.1567398025586,23.323786201496603,NA,158.2859431971419,1.7114269774513944,17592.273305237504,11.681129730499809,365,95
1055.0348676482945,25.3977163336868,NA,159.48520336541253,1.739429890348688,18451.549298301958,13.508151173472633,360,100
