numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
429.6389,29.930754530897623,NA,135.5,5.140499999999999,12139.821370656733,5.5,375,0
456.4586906388676,28.151052130677385,NA,137.19924656967504,5.067106256583,11851.154647302179,6.776298584836435,382,5
482.64240353615054,26.59425827364062,NA,138.89849313935008,5.020122034752879,11651.482597886534,0.1,390,10
507.82175824666587,25.241160316690184,NA,140.59773970902512,4.95496935627581,11529.432117113005,0.1,398,15
532.8776606355657,24.097446089370308,NA,142.29698627870016,4.347386058985768,11488.85369552656,0.1,406,20
557.7364184161937,23.16226593937194,NA,143.9962328483752,4.056748581833261,11522.266026735691,0.1,414,25
582.4181072231945,22.432734877825627,NA,145.69547941805024,4.33103346463257,11624.832456018821,0.1,422,30
607.1406546773063,21.90619079287683,NA,147.39472598772528,4.088151408803908,11793.930786451845,0.1,430,35
631.8349387284819,21.580052576528526,NA,149.09397255740032,4.0671787619140645,12025.411634252461,0.1,438,40
656.3776809059915,21.4499786666064,NA,150.79321912707536,4.017492432198646,12314.421713417622,0.1,445,45
680.6622199674588,21.51081774094772,NA,152.4924656967504,4.113821306139822,12656.290229952787,0.1,453,50
704.7547235863069,21.755730727436973,NA,154.19171226642544,4.014343720011108,13048.224456104072,0.1,461,55
728.245846465013,22.176051533519953,NA,155.89095883610048,4.215056012173589,13482.01814821102,0.1,469,60
751.5076548720275,22.76518308542409,NA,157.59020540577552,4.2710660184535385,13959.622290523937,0.1,477,65
774.4602768387141,23.50732996568763,NA,159.28945197545056,4.624792994179296,14475.579090103869,3.928895754509305,480,70
796.3842919813508,24.415395608888044,NA,160.9886985451256,4.60813093135717,15022.291361782576,7.75779150901861,488,75
817.5949085234814,25.405624694651664,NA,162.68794511480064,4.5294607850190705,15585.589074944954,9.934687375153864,484,80
838.3464480496109,26.515517899271078,NA,164.38719168447568,4.767241792198683,16176.29151058768,11.588950298244558,467,85
859.0527256275069,27.86574155817499,NA,166.08643825415072,5.1535316014332375,16825.709824641977,13.243213221335253,474,90
879.44548348146,29.33946401276773,NA,167.78568482382576,5.158003118251366,17503.81494798384,14.897476144425948,479,95
899.5346853238582,30.912809660394785,NA,169.4849313935008,5.303546786195994,18205.725298881927,16.551739067516642,481,100
