numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
423.6429,26.191832644843412,NA,99.5,1.7763,11611.923096752427,5.5,229,0
431.4633843547012,25.449048886618893,NA,99.6745248513753,1.6656365100000001,11529.743587238589,5,235,1
439.34029655710617,24.760693365768567,NA,99.84904970275059,1.999507161516,11462.620569309818,5,242,2
447.1186149428299,24.122134974017786,NA,100.02357455412589,2.265169422036063,11407.914694711852,5,249,3
454.85674865073497,23.532022091674182,NA,100.19809940550118,2.147943843995967,11365.773057739398,5,256,4
462.7008630538931,22.99007595216607,NA,100.37262425687648,2.037846989786013,11337.367809713161,5,263,5
470.4979512579541,22.492076103548072,NA,100.54714910825177,1.9344360132482616,11320.211951597024,5,270,6
478.3530446339681,22.037094600598525,NA,100.72167395962707,1.8372956482450526,11314.91442413235,5,277,7
486.2820533504804,21.623885552410005,NA,100.89619881100236,1.7460364904916017,11321.31226697445,5,284,8
494.17988232068745,21.249194328911635,NA,101.07072366237766,1.90921122272414,11337.591547835747,5,291,9
502.1462697122294,20.91240031814004,NA,101.24524851375295,1.8131341775685164,11364.427858312278,5,298,10
509.949604904946,20.6094938130509,NA,101.41977336512825,1.7228758045837413,11398.74450631702,5,305,11
517.8091032988528,20.341133014077474,NA,101.59429821650355,1.6380748190660905,11442.58095469709,5,312,12
525.7080920392848,20.10577331197886,NA,101.76882306787884,1.5583924354533014,11495.372187968458,5,319,13
533.631373060629,19.90195275796519,NA,101.94334791925414,1.4835109656929995,11556.587505748443,5,326,14
541.4639421788598,19.727193985920046,NA,102.11787277062943,1.4131325049322947,11624.566142389549,5,333,15
549.2762967965585,19.580816853376923,NA,102.29239762200473,1.3469776990884474,11699.70743710582,5,340,16
557.0775336341345,19.461625963927098,NA,102.46692247338002,1.2847845891994136,11781.737125811382,5,347,17
564.870443676385,19.368832815398264,NA,102.64144732475532,1.2263075277708884,11870.485731048828,5,354,18
572.6411299210736,19.301368480898148,NA,102.81597217613061,1.1713161626344664,11965.544718882356,5,361,19
580.3115629696166,19.256919889852963,NA,102.99049702750591,1.1195944841109844,12065.581933671314,5,368,20
587.8611910437927,19.23452171898947,NA,103.1650218788812,1.1859730807203197,12170.168552472096,5,375,21
595.3948512429295,19.23430890042383,NA,103.3395467302565,1.1330291394340808,12280.22605999932,5,382,22
602.8917941403681,19.255540583416092,NA,103.5140715816318,1.0832307277639834,12395.383929887985,5,389,23
610.3598285697236,19.297172109978902,NA,103.68859643300709,1.0363829952238017,12515.40829036645,5,396,24
617.7924874968786,19.35838269557846,NA,103.86312128438239,1.3620729217083538,12640.020262406257,5,403,25
625.1714064936543,19.438561730273193,NA,104.03764613575768,1.3178904456136113,12768.897735636914,5,410,26
632.4999561863872,19.536864158453895,NA,104.21217098713298,1.276163612710999,12901.830097399048,5,417,27
639.7733471241177,19.652590770574964,NA,104.38669583850827,1.236741603982648,13038.583574919621,5,424,28
646.9821819101018,19.785168615983565,NA,104.56122068988357,1.1994829806123652,13178.920169996789,5,431,29
654.1502189460812,19.934149164667616,NA,104.73574554125886,1.164255099714579,13322.931743687284,5,438,30
661.2293764539568,20.098382778258127,NA,104.91027039263416,1.4848000671543995,13469.869736717594,5,445,31
668.1868895803192,20.276584473403478,NA,105.08479524400946,1.5640573543204213,13619.088782471843,5,452,32
675.1412420757157,20.470203417371295,NA,105.25932009538475,1.5245783215603348,13772.029853301401,5,459,33
681.9890684457412,20.677036146985465,NA,105.43384494676005,1.4871357118361788,13927.176123073139,5.349049702750589,466,34
688.689979252717,20.896082379026925,NA,105.60836979813534,1.4516057447739619,14083.780443750866,6.5707236623776515,473,35
695.2800430426718,21.128012606452685,NA,105.78289464951064,1.4178723289688893,14242.174211736216,6.919773365128241,480,36
701.794021873916,21.37230600054665,NA,105.95741950088593,1.3858265831271837,14402.771606936269,7.792397622004714,487,37
708.2322443167271,21.628795096288364,NA,106.13194435226123,1.452536914501615,14565.512196147774,8.66502187888119,494,38
714.599151437749,21.896866081212654,NA,106.30646920363652,1.419757403313446,14730.29545974899,9.203932562102166,501,39
720.8928354424444,22.17618899514529,NA,106.48099405501182,1.3885271428506456,14897.028965283836,9.524360899049055,508,40
727.118455691392,22.466425129722825,NA,106.65551890638712,1.358756019933029,15065.693818159156,9.844789235995945,515,41
733.2921321440016,22.767629809857926,NA,106.83004375776241,1.3303593786444596,15236.482946645567,9.850691417810191,522,42
739.3995557821247,23.078952127694613,NA,107.0045686091377,1.4150121045725488,15409.035242097068,10.17111975475708,527,43
745.4616960372607,23.401011397403824,NA,107.179093460513,1.3821683355435757,15583.70708953239,10.49154809170397,534,44
751.4726968217043,23.733195012083325,NA,107.3536183118883,1.3509083318733182,15760.255883390852,10.497450273518217,541,45
757.4486291150095,24.07576608763633,NA,107.52814316326359,1.3211390987128642,15938.913593187915,10.817878610465106,548,46
763.3337177522963,24.427195296887408,NA,107.70266801463889,1.292773303284607,16118.633643730118,11.138306947411996,552,47
769.1453259003936,24.78738897233797,NA,107.87719286601418,1.578153958923995,16299.63985998326,11.458735284358886,555,48
774.9009674668368,25.156144893987957,NA,108.05171771738948,1.6260443289039688,16482.122381774836,11.467588557080255,559,49
780.6013448146714,25.533218829937237,NA,108.22624256876477,1.5944193239047766,16666.019508072026,11.788016894027145,564,50
786.2389491455639,25.918467880157174,NA,108.40076742014007,1.5642097893995892,16851.172289168655,12.108445230974034,569,51
791.795295005027,26.311424223471917,NA,108.57529227151537,1.5353333993272682,17037.216821574137,12.428873567920924,573,52
797.2782858397705,26.711778571223416,NA,108.74981712289066,1.507712842907095,17224.17368891652,12.749301904867814,576,53
802.6649316169268,27.108796292737424,NA,108.92434197426596,1.4812755157944906,17409.048057470653,12.761106268496306,575,54
808.040079016686,27.52438598435014,NA,109.09886682564125,1.4817744796278498,17598.422471806327,13.084485696350319,579,55
813.3457887276619,27.946927839928815,NA,109.27339167701655,1.4558945292388372,17788.629976422086,13.710586915708483,583,56
818.5900765965858,28.37593163031428,NA,109.44791652839184,1.4311056446041235,17979.661871207238,13.728293461151221,587,57
823.7733813896685,28.811367465721844,NA,109.62244137976714,1.4510162116315843,18171.499136404444,14.04872179809811,591,58
828.7791860491418,29.19009034455695,NA,99.91653665557757,1.3765991909476458,18347.6054404305,14.369150135045,583,59
833.8730642626862,29.64269328735089,NA,100.2625796497399,1.6423160279782703,18542.462659767327,14.68957847199189,589,60
838.8938809519519,30.100998528974564,NA,100.60862264390224,1.6205477785788036,18737.751450578777,15.01000680893878,594,61
843.8679391363153,30.56512564581137,NA,100.95466563806457,1.5994882758424167,18933.844654607197,15.33043514588567,600,62
848.7673773884583,31.03308646841236,NA,101.3007086322269,1.579100420035383,19129.88589990624,15.650863482832559,604,63
853.6235579212218,31.50892510242124,NA,101.64675162638923,1.559349279935715,19327.234694408842,15.971291819779449,609,64
858.4312115166374,31.990360386654213,NA,101.99279462055156,1.5402019623562484,19525.282392743917,16.29172015672634,615,65
863.1813772388177,32.476990617380395,NA,102.3388376147139,1.7954506743279979,19723.81145680272,16.612148493673228,621,66
867.8776220976791,32.96890386494291,NA,102.68488060887623,1.7754209599731012,19922.880116809036,16.932576830620118,627,67
856.7344175991879,33.433412425291245,NA,103.03092360303856,2.0257619787182035,20000,17.253005167567007,630,68
836.5345930407404,33.86655843606203,NA,103.37696659720089,2.004797981977221,20000,17.573433504513897,624,69
818.1088470602065,34.26264362441808,NA,103.72300959136322,1.9548126528997094,20000,17.893861841460787,613,70
799.5301668247904,34.67869643317881,NA,104.06905258552555,2.2006270978076334,20000,18.214290178407676,611,71
781.9065374875184,35.08013895448643,NA,104.41509557968789,2.1808760483275815,20000,18.534718515354566,610,72
765.3058383887778,35.46330204498,NA,104.76113857385022,2.16146057890752,20000,18.855146852301456,606,73
749.6327735660323,35.829047828185885,NA,105.10718156801255,2.1423678159306774,20000,19.478296980752496,605,74
734.9128877632197,36.183603058772576,NA,105.45322456217488,2.123585570358671,20000,19.798725317699386,600,75
721.101226418654,36.514464105399675,NA,105.79926755633721,2.105102298244872,20000,19.822334044956374,597,76
708.8495355824537,36.86574787558975,NA,106.14531055049954,2.5920910257851837,20000,20.145713472810385,583,77
696.1244656962259,37.318940206705015,NA,106.49135354466188,2.5901126413825626,20000,20.760010328540055,583,78
683.7019596152961,37.75770670217357,NA,106.83739653882421,2.568032632072251,20000,21.080438665486945,581,79
671.4688890357785,38.19417294379967,NA,107.18343953298654,2.793396369046881,20000,21.400867002433834,581,80
659.916474548563,38.61198009591516,NA,107.52948252714887,2.750736450962784,20000,21.721295339380724,574,81
