numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
429.6389,29.930754530897623,NA,135.5,5.140499999999999,12139.821370656733,5.5,375,0
456.4586906388676,28.303782373303598,NA,137.19924656967504,5.067106256583,12025.70792545738,5,382,5
482.96981382786396,26.964706069363434,NA,138.89849313935008,5.020122034752879,12000.477769094687,5,390,10
509.0814533433921,25.89603775771366,NA,140.59773970902512,4.95496935627581,12056.131826081868,5,398,15
535.0817546260005,25.089309526918537,NA,142.29698627870016,4.347386058985768,12190.774003324004,5,406,20
560.9644410009738,24.533592460524027,NA,143.9962328483752,4.056748581833261,12398.933280144403,5,414,25
586.4359671761424,24.21406660523797,NA,145.69547941805024,4.33103346463257,12672.118743910742,5,422,30
611.691234187903,24.122828770799014,NA,147.39472598772528,4.088151408803908,13007.752321957012,5,430,35
636.9816038068103,24.253218216915695,NA,149.09397255740032,4.0671787619140645,13405.443515950255,5,438,40
661.9515994441455,24.5938670230119,NA,150.79321912707536,4.017492432198646,13857.808752415656,6.276298584836435,446,45
686.4142738892299,25.136565087003934,NA,152.4924656967504,4.113821306139822,14357.737552974906,7.55259716967287,454,50
710.2776371691137,25.86828234495238,NA,154.19171226642544,4.014343720011108,14901.904231424991,10.86912894101378,462,55
733.5527594791737,26.78467111706251,NA,155.89095883610048,4.215056012173589,15487.304300874062,10.61982135723078,470,60
756.5914519139911,27.878437089769545,NA,157.59020540577552,4.2710660184535385,16117.547824745585,12.274084280321475,478,65
779.2675695433694,29.13282960259948,NA,159.28945197545056,4.624792994179296,16785.625390915757,12.024776696538474,481,70
801.6982678160775,30.560300861836733,NA,160.9886985451256,4.60813093135717,17496.735587170766,13.429732035846168,489,75
823.7203927602045,32.082923057495165,NA,162.68794511480064,4.5294607850190705,18230.941500754183,15.083994958936863,487,80
845.2774139491662,33.73744307089152,NA,164.38719168447568,4.767241792198683,18993.42869966061,16.738257882027558,470,85
866.6978793913767,35.6461947630702,NA,166.08643825415072,5.1535316014332375,19815.126213897605,18.392520805118252,477,90
805.2386769609087,37.46571039092256,NA,167.78568482382576,5.158003118251366,20000,20.046783728208947,477,95
735.7786718274515,39.02908313685034,NA,169.4849313935008,5.303546786195994,20000,21.70104665129964,471,100
