numtrees,ba,timb_vol,maxdbh,densVLT,totcarea,Dstar,numcohorts,time
484.0648,32.082723858923735,NA,113.5,6.2118,13923.798516635743,13.5,285,0
482.33418073593157,31.375351171819066,NA,113.8440960415411,5.9663451599999995,13716.898894175576,13.834117575293048,291,1
481.03548621231243,30.7109350201912,NA,114.18819208308221,5.733861099714,13527.744136644435,13.07962222837195,298,2
480.1954054409682,30.090111567840857,NA,114.53228812462332,5.884011987230187,13356.684637942431,12.369433342557924,305,3
479.7613774002161,29.50923532824927,NA,114.87638416616443,5.653628722371731,13202.210567812317,11.659244456743899,312,4
479.71924744513296,28.96699121458612,NA,115.22048020770553,5.435357431840145,13063.707411189014,11.949055570929874,319,5
480.01096313310705,28.460278447583633,NA,115.56457624924664,5.228499079121356,12939.617259385559,11.238866685115848,326,6
480.5489257450887,27.985378820926456,NA,115.90867229078775,5.032395953472991,12828.180891559681,11.572984260408896,333,7
481.3155550098521,27.541161382046546,NA,116.25276833232886,4.846429209731573,12728.495479964511,10.818488913487798,340,8
482.34569853291,27.127624692679998,NA,116.59686437386996,4.670016555052207,12640.921477987458,11.152606488780846,347,9
483.5405223053294,26.741708857063372,NA,116.94096041541107,4.5026100737832095,12563.391913230449,10.398111141859747,354,10
484.8848888774728,26.38166693229128,NA,117.28505645695218,5.111274911823494,12495.387348907667,9.687922256045722,361,11
486.4044663307524,26.047638448248463,NA,117.62915249849328,4.950309127427836,12437.09348785889,10.02203983133877,368,12
487.9727405683544,25.735970420597976,NA,117.97324854003439,4.797023907731448,12385.897585611703,10.356157406631818,375,13
489.63045469314363,25.446933942552747,NA,118.3173445815755,4.650987852492547,12342.298948215284,9.557355598603646,382,14
491.3985147349456,25.17943371240515,NA,118.6614406231166,4.511794884988942,12306.423487469345,9.33762784170107,389,15
493.2636104730337,24.933187668799235,NA,119.00553666465771,4.379062748109147,12277.780883818818,9.548957021938238,396,16
495.1636381922409,24.70635064089748,NA,119.34963270619882,4.411953035480441,12255.209145602363,7.582644887261201,403,17
497.0771352328831,24.497341351199687,NA,119.69372874773993,4.28176802778165,12238.067369862305,7.793974067498369,410,18
498.9517225435114,24.304575823652815,NA,120.03782478928103,4.624679865284871,12225.389019146949,0.345017045560142,417,19
500.9080556114327,24.128641742076212,NA,120.38192083082214,4.493602367010827,12218.643235340394,0.1,424,20
502.87562159446213,23.968788607268458,NA,120.72601687236325,4.368453800067257,12216.617690998473,0.1,431,21
504.86837833853235,23.824909150493838,NA,121.07011291390435,4.603123870418617,12219.356474311153,0.1,438,22
506.92914722284365,23.69736811963676,NA,121.41420895544546,4.8793944027803295,12227.258407087716,0.1,445,23
508.99680855925544,23.584603293651735,NA,121.75830499698657,4.7492946336218615,12239.417273858786,0.1,452,24
511.117148523005,23.486726048603593,NA,122.10240103852767,4.625058438846528,12256.167141949938,0.1,459,25
513.2979906080676,23.403384967134496,NA,122.44649708006878,4.506360612773018,12277.444116612183,0.1,466,26
515.5376832350842,23.33413809007279,NA,122.79059312160989,4.392895031609525,12303.117790991004,0.1,473,27
517.7690067523604,23.277458945593587,NA,123.134689163151,4.897807167333827,12332.17075496872,0.1,480,28
520.057959933362,23.233997603747778,NA,123.4787852046921,4.785922438491226,12365.339501562514,0.1,487,29
522.3992881581713,23.2032970367623,NA,123.82288124623321,4.678560320036269,12402.430365331076,0.1,494,30
524.7841363534142,23.18485231865818,NA,124.16697728777432,4.712876605143719,12443.186012270133,0.1,501,31
527.2076315066548,23.178230605991132,NA,124.51107332931542,4.6058241112427,12487.425537995867,0.1,508,32
529.6678010881119,23.183117747916853,NA,124.85516937085653,4.7902249219496325,12535.034601982643,0.522658360474336,515,33
532.09990310925,23.198232936937742,NA,125.19926541239764,4.687795140615986,12585.004907591096,1.1566459011858399,522,34
534.5439255758976,23.22402920923846,NA,125.54336145393874,4.654036451791523,12637.805602763492,1.3679750814230078,529,35
537.0109854792754,23.260070289673756,NA,125.88745749547985,4.606607454096554,12693.435122159273,2.2132918023716797,536,36
539.4810513435948,23.306119518714194,NA,126.23155353702096,4.509058869737021,12751.545853332731,2.6359501628460156,543,37
541.9616326657062,23.361513144823224,NA,126.57564957856206,4.41519119950649,12812.137867844052,3.2699377035575194,549,38
544.4636245735692,23.426548450389504,NA,126.91974562010317,4.590116916966815,12875.326818766021,4.115254424506191,556,39
546.9746172648661,23.50067501237846,NA,127.26384166164428,4.4995747901287,12940.846556367685,4.782929830540671,563,40
549.4940871285728,23.583489122529652,NA,127.60793770318539,4.41221946409562,13008.593369204955,5.116767533557911,570,41
552.024079566973,23.67475593794834,NA,127.95203374472649,5.092928486632589,13078.522682608713,6.063147850475507,577,42
554.5611466848721,23.774222367887976,NA,128.29612978626758,5.001452867968305,13150.537735430755,6.887019644613032,584,43
557.1039587526412,23.881625997281027,NA,128.64022582780868,4.912841114782195,13224.5359997546,8.794333425579246,591,44
559.6552871969891,23.99671919816642,NA,128.98432186934977,5.3467851594158,13300.505816435141,9.128451000872294,598,45
562.1912428343144,24.118413290482138,NA,129.32841791089086,5.255349847087311,13377.868860000675,9.462568576165342,603,46
564.749044007656,24.248123356273883,NA,129.67251395243196,5.546432890946803,13457.3940808877,9.373955653951196,610,47
567.3118889013938,24.384981880738778,NA,130.01660999397305,5.694560770998232,13538.693476746908,9.708073229244244,617,48
569.8759550688449,24.528834836694966,NA,130.36070603551414,5.606418106205999,13621.655736416666,9.66376676813717,624,49
572.4307700667997,24.679207918072397,NA,130.70480207705523,5.60822543990449,13706.029404597963,9.997884343430218,630,50
